SERVICE_MINILINK,hour,speed
1220028000_046,2,39.66811342592593
1220028000_046,3,47.577083333333334
1220028000_046,4,46.428009259259255
1220028000_046,5,48.57534722222222
1220028000_046,6,41.384375
1220028000_046,7,35.69751157407407
1220028000_046,8,31.417824074074076
1220028000_046,9,23.384722222222223
1220028000_046,10,20.063252314814815
1220028000_046,11,18.532870370370368
1220028000_046,12,25.11047453703704
1220028000_046,13,15.214583333333334
1220028000_046,14,16.053067129629632
1220028000_046,15,18.327314814814812
1220028000_046,16,21.011458333333334
1220028000_046,17,22.3
1220028000_046,18,26.938541666666662
1220028000_046,19,30.60196759259259
1220028000_046,20,32.43148148148148
1220028000_046,21,27.624305555555555
1220028000_046,22,27.8552662037037
1220028000_046,23,24.09537037037037
1220028000_047,0,29.002893518518515
1220028000_047,1,31.97123842592592
1220028000_047,2,38.88518518518518
1220028000_047,3,45.50925925925926
1220028000_047,4,46.24849537037038
1220028000_047,5,44.35833333333333
1220028000_047,6,41.44351851851852
1220028000_047,7,35.258796296296296
1220028000_047,8,27.97418981481482
1220028000_047,9,24.95451388888889
1220028000_047,10,19.301041666666666
1220028000_047,11,16.763020833333332
1220028000_047,12,23.3140625
1220028000_047,13,13.854166666666666
1220028000_047,14,14.68570601851852
1220028000_047,15,16.228240740740738
1220028000_047,16,19.148611111111112
1220028000_047,17,20.765104166666667
1220028000_047,18,24.441666666666666
1220028000_047,19,30.688715277777778
1220028000_047,20,30.821354166666666
1220028000_047,21,26.368402777777778
1220028000_047,22,24.701041666666665
1220028000_047,23,20.563020833333333
1220028000_048,0,26.404456018518523
1220028000_048,1,27.488483796296293
1220028000_048,2,35.47352430555555
1220028000_048,3,44.253761574074076
1220028000_048,4,42.84079861111111
1220028000_048,5,44.578240740740746
1220028000_048,6,37.78663194444445
1220028000_048,7,34.497453703703705
1220028000_048,8,26.92893518518519
1220028000_048,9,23.47013888888889
1220028000_048,10,18.80341435185185
1220028000_048,11,15.90457175925926
1220028000_048,12,20.750694444444445
1220028000_048,13,12.921527777777778
1220028000_048,14,14.457870370370369
1220028000_048,15,16.0515625
1220028000_048,16,18.07777777777778
1220028000_048,17,20.16516203703704
1220028000_048,18,23.110069444444445
1220028000_048,19,28.602256944444445
1220028000_048,20,28.917245370370374
1220028000_048,21,24.107465277777777
1220028000_048,22,21.957523148148148
